parameterid;description;Type;ParameterGroupId;Level;Mode;Unit
3000;Battery voltage;0;1;0;0;V
3001;Battery temperature;0;1;0;0;°C 
3002;Temperature compensation of battery voltage;0;1;0;0;Ctmp
3003;Dynamic compensation of battery voltage;0;1;0;0;Cdyn
3004;Wanted battery charge current;0;1;0;0;A
3005;Battery charge current;0;1;0;0;A
3006;Battery voltage ripple;0;1;0;0;V
3007;State of charge;0;1;0;0;%
3008;Low Voltage Disconect;0;1;0;0;V
3010;Battery cycle phase;3;1;0;0;"0:Invalid value
1:Bulk
2:Absorpt.
3:Equalise
4:Floating
5:R.float.
6:Per.abs.
7:Mixing
8:Forming"
3011;Input voltage;0;1;0;0;V
3012;Input current;0;1;0;0;A
3013;Input power;0;1;0;0;kVA
3017;Input limit value;0;1;0;0;A
3018;Input limite reached;3;1;0;0;"0:Off
1:On"
3019;Boost active;3;1;0;0;"0:Off
1:On"
3020;State of transfer relay;3;1;0;0;"0:Opened
1:Closed"
3021;Output voltage;0;1;0;0;V
3022;Output current;0;1;0;0;A
3023;Output power;0;1;0;0;kVA
3028;Operating state;3;1;0;0;"0:Invalid value
1:Inverter
2:Charger
3:Boost
4:Injection"
3030;State of output relay;3;1;0;0;"0:Opened
1:Closed"
3031;State of auxiliary relay 1;3;1;0;0;"0:Opened
1:Closed"
3032;State of auxiliary relay 2;3;1;0;0;"0:Opened
1:Closed"
3045;Nbr. of overloads;0;1;0;0;
3046;Nbr. overtemperature;0;1;0;0;
3047;Nbr. batterie overvoltage;0;1;0;0;
3049;State of the inverter;3;1;0;0;"0:Off
1:On"
3050;Number of battery elements;0;1;0;0;
3051;Search mode state;3;1;0;0;"0:Off
1:On"
3054;Relay aux 1 mode;3;1;0;0;"0:Invalid value
1:A
2:I
3:M
4:M
5:G"
3055;Relay aux 2 mode;3;1;0;0;"0:Invalid value
1:A
2:I
3:M
4:M
5:G"
3056;Lockings flag;0;1;0;0;
3074;State of the ground relay;3;1;0;0;"0:Opened
1:Closed"
3075;State of the neutral transfer relay;3;1;0;0;"0:Opened
1:Closed"
3076;Discharge of battery of the previous day;0;1;0;0;kWh
3078;Discharge of battery of the current day;0;1;0;0;kWh
3080;Energy AC-In from the previous day;0;1;0;0;kWh
3081;Energy AC-In from the current day;0;1;0;0;kWh
3082;Consumers energy of the previous day;0;1;0;0;kWh
3083;Consumers energy of the current day;0;1;0;0;kWh
3084;Input frequency;0;1;0;0;Hz
3085;Output frequency;0;1;0;0;Hz
3086;Remote entry state;3;1;0;0;"0:RM EN 0
1:RM EN 1"
3087;Output active power;0;1;0;0;W
3088;Input active power;0;1;0;0;W
3089;Defined phase;0;1;0;0;
3090;Battery voltage (minute min);0;1;0;0;V
3091;Battery voltage (minute max);0;1;0;0;V
3092;Battery voltage (minute avg);0;1;0;0;V
3093;Battery charge current (minute min);0;1;0;0;A
3094;Battery charge current (minute max);0;1;0;0;A
3095;Battery charge current (minute avg);0;1;0;0;A
3096;Output power min (minute min);0;1;0;0;kVA
3097;Output power (minute max);0;1;0;0;kVA
3098;Output power (minute avg);0;1;0;0;kVA
3099;Output active power (minute min);0;1;0;0;kW
3100;Output active power (minute max);0;1;0;0;kW
3101;Output active power (minute avg);0;1;0;0;kW
3102;Electronic temperature 1 (minute min);0;1;0;0;°C
3103;Electronic temperature 1 (minute max);0;1;0;0;°C
3104;Electronic temperature 1 (minute avg);0;1;0;0;°C
3105;Electronic temperature 2 (minute min);0;1;0;0;°C
3106;Electronic temperature 2 (minute max);0;1;0;0;°C
3107;Electronic temperature 2 (minute avg);0;1;0;0;°C
3108;Output frequency (minute min);0;1;0;0;Hz
3109;Output frequency (minute max);0;1;0;0;Hz
3110;Output frequency (minute avg);0;1;0;0;Hz
3111;Input voltage (minute min);0;1;0;0;V
3112;Input voltage (minute max);0;1;0;0;V
3113;Input voltage (minute avg);0;1;0;0;V
3114;Input current (minute min);0;1;0;0;A
3115;Input current (minute max);0;1;0;0;A
3116;Input current (minute avg);0;1;0;0;A
3117;Input active power (minute min);0;1;0;0;kW
3118;Input active power (minute max);0;1;0;0;kW
3119;Input active power (minute avg);0;1;0;0;kW
3120;Input frequency (minute min);0;1;0;0;Hz
3121;Input frequency (minute max);0;1;0;0;Hz
3122;Input frequency (minute avg);0;1;0;0;Hz
3124;ID type;0;1;0;0;
3125;ID Power;0;1;0;0;VA
3126;ID Uout;0;1;0;0;V
3127;ID batt voltage;0;1;0;0;V
3128;ID Iout nom;0;1;0;0;A
3129;ID HW;0;1;0;0;
3130;ID SOFT msb;0;1;0;0;
3131;ID SOFT lsb;0;1;0;0;
3132;ID HW PWR;0;1;0;0;
3133;Parameter number (in code);0;1;0;0;
3134;Info user number;0;1;0;0;
3135;ID SID;0;1;0;0;
3136;Output active power;0;1;0;0;kW
3137;Input active power;0;1;0;0;kW
3138;Input power;0;1;0;0;kVA
3139;Output power;0;1;0;0;kVA
3140;System debug 1;0;1;0;0;
3141;System debug 2;0;1;0;0;
3142;System state machine;0;1;0;0;
3154;Input frequency;0;1;0;0;Hz
3155;Desired AC injection current;0;1;0;0;A
3156;ID FID msb;0;1;0;0;
3157;ID FID lsb;0;1;0;0;
3158;Actual freezed current in ARN4105 P(f);0;1;0;0;
3159;AC injection current, type of limitation ARN4105 P(f);3;1;0;0;"0:No limit
1:FreezeOF
2:N_ImaxOF
3:FreezeUF
4:N_ImaxUF
5:N_IMaxST"
3160;Source of limitation of the functions charger or injector;3;1;0;0;"0:Invalid value
1:Ubatt
2:Ubattp
3:Ubattpp
4:Ibatt
5:Pchar
6:UbattInj
7:Iinj
8:Imax
9:Ilim
10:Ithermal
11:PchNeg
12:ARN f"
3161;Battery priority active;3;1;0;0;"0:Off
1:On"
3162;Forced grid feeding active;3;1;0;0;"0:Off
1:On"
3164;Battery voltage target for charger/injection;0;1;0;0;
3165;Allowed charge current in limited charger mode;0;1;0;0;
3166;Current on converter output stage DC/AC;0;1;0;0;
3167;Voltage on converter output stage DC/AC;0;1;0;0;
3168;Over temperature state;3;1;0;0;"0:No Error
1:TR.Alarm
2:TR.Error
3:EL.Error
4:EL.Stop"
3169;AC injection current limit ARN4105 P(f);0;1;0;0;
